,author,content,href,exact_timestamp,exact_date_time,relative_date
22,Quỳnh Nga Nguyễn,"Đầu tháng 12 mình đi Phú Quốc và định đặt phòng ở Premium Residence Phú Quốc Emerald Bay Managed by Accor (Bãi Khem). Bạn nào review giúp mình, xung quanh resort có các nhà hàng để ăn ko nhỉ, đường đi lại có thuận tiện ko, có thể gọi taxi từ resort đến nhà hàng ko vì mình muốn ăn ở bên ngoài, ko muốn ăn trong resort. Cảm ơn ad và mọi người review giúp mình.",https://www.facebook.com/groups/GhienPhuQuoc/posts/2305501726279325/?__cft__[0]=AZXF7RpI6TVW_WJxH0_VYhiwwSl7LX1uZJ54F22Hw0id-Eo46NdQzoKc09BknMN4FnXzKqUPlLBfdvff1R2w3ifn2EDi94MxD-SuyPv3tacp_6ANMRAQWIIMpARrpZnPdrDyPInauwL1DsJumD8b0upq0ebmJHEBeZCvSNE86VcOjCZ-ViXJWcIG3jPoSWlFQiE&__tn__=%2CO%2CP-R,1663750798.0,2022-09-21 15:59:58,3 ngày
23,Trang Vũ,Cuối tháng này e đi pq 2ng e muốn tìm combo vila có vmb khứ hồi ạ,https://www.facebook.com/groups/GhienPhuQuoc/posts/2302735389889292/?__cft__[0]=AZUc8RPQEl0njhT9Fobv49yfVNPf8xALMQOe1QzwHOXsfas_1VDeZs3lEwLk6jFOUBjdwzP21IS_g-Jo_vxhRMd34UHrZVrxx7wltpaXXBHcKqtixLtUX8EA_2__kBFMxTYAwpcazMR_xvcmFl0hCvPmdlCEL2mYgcJNzm_U5sAnfAeB_U97mWdGnMpuzTVDvnY&__tn__=%2CO%2CP-R,1663491599.0,2022-09-18 15:59:59,6 ngày
24,Nguyễn Minh Đức,"Outfit đi Phú Quốc đợt này kiểu. 
#reviewdulichphuquoc
#ghiendibien",https://www.facebook.com/groups/GhienPhuQuoc/posts/2306566899506141/?__cft__[0]=AZVL-d81YtP9GdqubxX1yfk1pA2ZvkyHjty7fCKBpHDuRtNJ_UjVT0aaGxEPthP2K0vt-VW21zpztvEX2tSenrGkN_PhZ1ypB1hhHFj-HwsBCF1K9c01yA8NdlbhM4axawohY1-rEXN2RMrQnV7UZ2FyLL7Frna1vOIySGMtm15nujEQZAGt4CNGHnvun6imRvg&__tn__=%2CO%2CP-R,1663837208.0,2022-09-22 16:00:08,2 ngày
25,Candy Phung," TOP 5 BÃI BIỂN xinh đẹp ở PHÚ QUỐC cùng những Resort siêu yêu, bạn có thể kết hợp nghỉ 2 nơi để kỳ nghỉ trọn vẹn hơn nhé.
 Phú Quốc đang bước vào mùa đẹp nhất ",https://www.facebook.com/groups/GhienPhuQuoc/posts/2304228159740015/?__cft__[0]=AZX4jR4S6BJzGzqtf_5sBnkrHA2X74rMvC1rh89vclu5DgG6ZQx2aU9p1svfbkmCAJn0rpaOnfjVTg64NWRms5EXpwrvjPRrrPhlOPqtwgVqP4icE3we_ZYP3p3ecTSk7ayVXvcooe9V1X2WCXBlbQzD3yo53XJjNaMWI_xBvD42OYfGO6FMSx4xzdTDfFOMVPY&__tn__=%2CO%2CP-R,1663934409.0,2022-09-23 19:00:09,21 giờ
26,Nguyen Phu,"Em chuyên tư vấn và làm lịch trình chi tiết theo từng giờ bay tham quan các điểm đẹp nổi tiếng PQ và tiện đi lại , ăn uống vui chơi các quán bình dân luôn ạ . Setup các gói tiết kiệm chi phí. check tin nhắn chờ mình nhé",https://www.facebook.com/groups/GhienPhuQuoc/posts/2306670952829069/?__cft__[0]=AZWAHSayumbIapdRtn6vpwbJaoebB1xyFfPZBNktdVHoudcIyBqNttUhFith9D39_jvAKGc_sJt2NX3Rvg5B_a3GPNuU4D6AWuVQcw6KIkaIjBHNNDdAiex0aIv6XYlCYm_DAc41E0h9duymBQB0lah00amYQqzt2gH5JizK3Nq-j43A1TjdkFc57nNuV7F2QTc&__tn__=%2CO%2CP-R,1663837211.0,2022-09-22 16:00:11,2 ngày
27,Người tham gia nhóm,"Em có dự định đi du lịch Phú Quốc 4n3đ, anh chị nào có thể tư vấn giúp em tour nào hợp lý cho cặp đôi được không ạ. Em cảm ơn ",https://www.facebook.com/groups/GhienPhuQuoc/posts/2305408339621997/?__cft__[0]=AZW5zgPkL4_4N745s6yUrbmTLGhody8rkXsyfQBnrlrcUknOaOC3coJKBZUYoC_2l_J4_aRLTEGXzwxHUFwhyXFuspq9LvQf68DBotaLD_28p8buzGyfiewc46ZkXrfiKr8dQ1ri9WgnIQY9uwELd4xPgJ0Io93acJnuvcqaweufzsNRxLEl334tTwlK58AanG-DXCBl0O-7j8Fz6CkJuJXf&__tn__=%2CO%2CP-R,1663750812.0,2022-09-21 16:00:12,3 ngày
28,Huyền My,có anh chị nào nào còn quỷ phòng ở vinper lh em cần gấp ạ tháng 11,https://www.facebook.com/groups/GhienPhuQuoc/posts/2306654246164073/?__cft__[0]=AZWrPyXFXcdTZQ-GxHpL5iZEUchiPrvS1G7ItiKU5bCmNLUmiaXyX_A2M4RsZ8wTiGyvAXU3nrfP80TkZTKRDbmOQng8X-tJXlLJQeIAIJ6V7aBQEVhUxsvmPvrhdlKpGevzv_ID2TQZmW1zQWokN6GbfNCcUdUV4Mia0gEL-ktGHDVyV9NJbY7wxO1kHmWTo3w&__tn__=%2CO%2CP-R,1663837214.0,2022-09-22 16:00:14,2 ngày
29,Nguyễn Nam,"Em cần tiềm tuor đi 4 ngày 3 đêm Hồ chí Minh -> Phú quốc đoàn em 20 người có 2 em bé dưới 2 tuổi 2 em bé từ 5 tuổi tới 12 tuổi . Em muốn ở 2 đem ở khách sạn 4 sao ở trung tâm phú quốc và 1 đêm ở vinpear . Tour em muốn bao gồm ăn sáng và ăn trưa , đi tour 3 đảo , sâfari , vinwonder . Đi đầu tháng 11 . Em xin được tư vấn .",https://www.facebook.com/groups/GhienPhuQuoc/posts/2305109696318528/?__cft__[0]=AZWBDArABde4tQf9HxxyX6Ou9VcVs_IwKNIOcpNj-LZbmOwgKlPWwdGlq-C6vu-DhcHioAFhy_tUv8Q9vaVyWJc0CwklzXd9sc1ONpQ6Hvf86OLm0sk0wGBcMnte3hP4xFLP_Wl_vdnrTTfGAYVudCpwTTvvfwL1wgw9OGHkTBlWzKojONEgP48TRHx6Igz5lyk&__tn__=%2CO%2CP-R,1663664421.0,2022-09-20 16:00:21,4 ngày
30,Nhi Lam Bao,"Em cod dự định đi PQ ngày 18/11 - 22/11 
Khb PQ dịp đó có đẹp phù hợp du lịch 
và có đông kh ạ anh/chị? Em cũng cần xe đưa đón sân bay và ô tô thuê tự lái, a/c tư vấn em với đc em chốt luôn ^^",https://www.facebook.com/groups/GhienPhuQuoc/posts/2297770193719145/?__cft__[0]=AZXD0JxeVgm8AECnU3LhcPtIxHXfBa5exKUzNOhvQhu05ak_P0MBkJ2V8QV5EcruRRzPT1iFGrjIyU6rCfMEmghDwvwlTS2OrjtmKNWerL8Xrd_ljBo-sUQW3ZH3DvXHas_wKJoLUme92EV1CtFPZpNDU-upyOepy0BkiAXezuD9N0uTCS_u687pEPRdI-GsF9g&__tn__=%2CO%2CP-R,1663405222.0,2022-09-17 16:00:22,1 tuần
31,Hoàng Duy,"Phú Quốc ở đâu thì tiện cho tối có thể đi chơi? Cần 1 bạn hướng dẫn viên những ngày mình ở Phú Quốc và thuê xe.
Cần phòng cho 3 đêm.",https://www.facebook.com/groups/GhienPhuQuoc/posts/2300713220091509/?__cft__[0]=AZUx5o9SVs5HB65EqM2TvQw5ttPnF0kuCEfRl2CIjNdyUbH1WSCjyixi9qtm8fcVK33ZpgsECitObSqehmUrunCCEJGKweuaxZqSKp8CY49T2TAG9NkxWc5pYoSxOy5pXcXhGxeGzPwK6_V0mgU2MzVZdJE_kHQo4KQlZoqi5oK1_JQ9ez3Y2e0rVHKXP1b1XCU&__tn__=%2CO%2CP-R,1663405224.0,2022-09-17 16:00:24,1 tuần
32,Linh Hoàng,Cần tìm tour 4 đảo ngày 25/9 đi ạ,https://www.facebook.com/groups/GhienPhuQuoc/posts/2304655436363954/?__cft__[0]=AZUnhEOHQapUumqaZZFwgf-zeeivAlbEQAR6VYN1pCJ-bG1G-szPKju7eSAzB6BJuNktsVMgUCNjgMpSJT4Vac8L4FyYRLkruINIWZpYArKd4AR05vHS_tswr92-TFgIzSKFAimi5Vm2796Ami5D_9tsBG7Q4DBRtAp-7qt9ijyeUftrzfxvU3GU9X7_khAEtQs&__tn__=%2CO%2CP-R,1663664425.0,2022-09-20 16:00:25,4 ngày
33,Người tham gia nhóm,"Mình đang có nhu cầu đi du lịch 2 người tại Phú Quốc, 4 ngày 3 đêm (2427/9), cần tư vấn cái tour đảo và ks, rs. Xin cảm ơn",https://www.facebook.com/groups/GhienPhuQuoc/posts/2301818276647670/?__cft__[0]=AZUH6LbacU6-KvbJpEORDBDsCPl11hbWUCSvhIyzZPKSfIRoOvhcbJ_ijLaTQel-sxKxTZI6tzn96qvbTZmT6nxwL0NTrLr94oQzG1Mg5sFMRhIF8AkjvJPQo9BXbhR2xee_V4BGa9QHpyObyi5muhqk-9Wm9fJiQMlUBsnLVjgRTmBi0U-NYQc5Pfaim9mij9PTI_gI1UKSS7gwHvjHEMFL&__tn__=%2CO%2CP-R,1663405227.0,2022-09-17 16:00:27,1 tuần
34,Linh Phan,"Cho e hỏi Chuyến đi gđ của c mấy người,hết bnhiu tiền c,e muốn dẫn gđ đi mà k pijk chi phí cao k",https://www.facebook.com/groups/GhienPhuQuoc/posts/2146637685499064/?__cft__[0]=AZXHkgvtEoy8yCg7QvkXnhvje8AQL9wQZ1TXhc7wgwPjhjKiJ5Ic49g2nTw7_gQMTwx67N2Ri4P4WKgcYtHyMCMtbnu3qQA1X76b9Gaag5X6i_iIm1zGzUeLeigA792huBbH9-n-cabwELNc0286aMg65oSy6G_3v037Pz98-fg2XlGIvDPSu2qfk50bPh7UNio&__tn__=%2CO%2CP-R,1646470828.0,2022-03-05 16:00:28,29 tuần
35,Nguyễn Minh Đức,"Thời tiết hôm nay lại tuyệt vời để đi check in r. 
 Chúc mừng du khách quay vào ô nắng sấp mặt. 
#reviewdulichphuquoc
#ghiendibien",https://www.facebook.com/groups/GhienPhuQuoc/posts/2307509512745213/?__cft__[0]=AZV0DhmaQSBaN4WlBobotKIrEBTwM0QEpouact998PWTlVjxhI-63NuaVQUon9Uak16_QolNKADyK9_BAJafTqQq0nyibh7IyaQsgtSk6VJzsp-O3JfTWufOL82-QnhWYyHa-SUXblKBaUkSa9A3hNc5NxdG4-L5QTwsy4ZE5AT5z2dNlWrCLqWzuIHh5HdlSjU&__tn__=%2CO%2CP-R,1663952429.0,2022-09-24 00:00:29,16 giờ
